Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
AT2G31580,AT2G31580.1,A0A0F7PZZ1,
AT2G31580,AT2G31580.1,A0A0F7Q1T6,
AT2G31580,AT2G31580.2,A0A0F7Q1U1,
AT2G31580,AT2G31580.1,A0A0F7Q2P0,
AT5G42780,AT5G42780.1,A0A0G4NSG5,
AT3G27120,AT3G27120.1,A0A0H3VBT7,
AT1G08845,AT1G08845.2,A0A0H4MBS1,
ATCG00490,ATCG00490.1,A0A0K1CVP8,R-ATH-1119312
AT1G02145,AT1G02145.3,A0A0K1SB46,
AT3G29630,AT3G29630.1,A0A0K1SB51,
AT1G56550,AT1G56550.1,A0A0K1SB69,
AT1G80290,AT1G80290.1,A0A0K1SBD7,
AT1G05680,AT1G05680.1,A0A0K1SBE8,
AT1G68560,AT1G68560.1,A0A0K2S4Q7,
AT1G68560,AT1G68560.1,A0A0K2S4S0,
ATCG01010,ATCG01010.1,A0A0N7KW38,
AT4G04850,AT4G04850.2,A0A0N9DZS1,
AT4G34610,AT4G34610.3,A0A0R7LJI3,
ATCG00065,ATCG00065.1,A0A0R9XKK8,
AT3G44670,AT3G44670.1,A0A0S2RR82,
AT2G16870,AT2G16870.1,A0A0S2RR82,
AT2G45403,AT2G45403.1,A0A0S2RR86,
AT1G65850,AT1G65850.1,A0A0S2RR89,
AT2G45403,AT2G45403.1,A0A0S2RR90,
AT3G44630,AT3G44630.3,A0A0S2RR99,
AT3G44400,AT3G44400.5,A0A0S2RR99,
AT2G32140,AT2G32140.1,A0A0S2RRA5,
AT1G65850,AT1G65850.1,A0A0S2RRA6,
AT3G44670,AT3G44670.1,A0A0S2RRA7,
AT1G72890,AT1G72890.2,A0A0S2RRA8,
AT3G44620,AT3G44620.1,A0A0S2RRF0,
AT1G56510,AT1G56510.1,A0A0S2RRF0,
AT2G45403,AT2G45403.1,A0A0S2RRF0,
AT3G44480,AT3G44480.2,A0A0S2RRF3,
AT1G72890,AT1G72890.2,A0A0S2RRH9,
AT1G65850,AT1G65850.1,A0A0S2RRT4,
AT3G05870,AT3G05870.6,A0A0U3E4L5,
AT5G57010,AT5G57010.1,A0A0U3SCP3,
AT1G62910,AT1G62910.1,A0A128ATR4,
AT1G62910,AT1G62910.1,A0A128ATR8,
AT1G62670,AT1G62670.2,A0A128ATR9,
AT1G62914,AT1G62914.1,A0A128ATT6,
AT1G60090,AT1G60090.2,A0A139ZPC7,
AT1G47600,AT1G47600.1,A0A142C269,
AT1G47600,AT1G47600.1,A0A142C272,
AT1G47600,AT1G47600.1,A0A142C273,
AT1G47600,AT1G47600.1,A0A142C276,
AT1G47600,AT1G47600.1,A0A142C277,
AT5G04160,AT5G04160.1,A0A142FJX3,
ATCG00490,ATCG00490.1,A0A142I795,R-ATH-1119312
ATMG00520,ATMG00520.1,A0A142I7H7,
ATMG00090,ATMG00090.1,A0A142I7P3,
AT2G43710,AT2G43710.1,A0A160CBM4,
AT3G04120,AT3G04120.1,A0A168L4G8,R-ATH-1119273
AT3G04120,AT3G04120.1,A0A168L4G8,R-ATH-1119283
AT3G04120,AT3G04120.1,A0A168L4G8,R-ATH-1119570
AT1G64550,AT1G64550.1,A0A178U564,
AT4G12620,AT4G12620.1,A0A178U571,
AT5G23300,AT5G23300.1,A0A178U587,
AT5G04885,AT5G04885.2,A0A178U5A7,
AT1G74040,AT1G74040.1,A0A178U5D5,R-ATH-1119540
ATMG01110,ATMG01110.1,A0A178U5D8,
AT5G55920,AT5G55920.1,A0A178U5E5,
AT2G07599,AT2G07599.1,A0A178U5F8,
AT1G65410,AT1G65410.1,A0A178U5F9,
ATMG01200,ATMG01200.1,A0A178U5G4,
ATMG01220,ATMG01220.1,A0A178U5H4,
AT5G48330,AT5G48330.2,A0A178U5K0,
AT2G07671,AT2G07671.1,A0A178U5K6,
AT2G07687,AT2G07687.1,A0A178U5K6,
ATMG00180,ATMG00180.1,A0A178U5L6,
ATMG01060,ATMG01060.1,A0A178U5L7,
ATMG00440,ATMG00440.1,A0A178U5L9,
ATMG01140,ATMG01140.1,A0A178U5L9,
AT2G07702,AT2G07702.1,A0A178U5L9,
AT3G61060,AT3G61060.2,A0A178U5M6,
ATMG00860,ATMG00860.1,A0A178U5N5,
ATMG00160,ATMG00160.1,A0A178U5N7,
ATMG00070,ATMG00070.1,A0A178U5P8,
ATMG01230,ATMG01230.1,A0A178U5Q3,
ATMG00960,ATMG00960.1,A0A178U5R5,
ATMG00940,ATMG00940.1,A0A178U5R5,
AT2G07725,AT2G07725.1,A0A178U5R7,
ATMG00210,ATMG00210.1,A0A178U5R7,
AT3G11470,AT3G11470.8,A0A178U5S5,
AT5G35930,AT5G35930.1,A0A178U5S5,
AT5G35930,AT5G35930.4,A0A178U5S5,
AT5G46290,AT5G46290.1,A0A178U5S5,
AT2G30200,AT2G30200.1,A0A178U5S5,
ATMG00580,ATMG00580.1,A0A178U5T0,
ATMG00240,ATMG00240.1,A0A178U5T8,
AT1G05000,AT1G05000.3,A0A178U5T9,
